id,contracting_authority_name,url,address_id
82,Okresní soud v Ostravě,https://nen.nipez.cz/profil/OSSEMOS,656
83,Krajské ředitelství policie Plzeňského kraje,https://nen.nipez.cz/profil/PCR_KRP_Plzen,663
84,Město Police nad Metují,https://nen.nipez.cz/profil/PolicenadMetuji,674
85,Slezské zemské muzeum,https://nen.nipez.cz/profil/SZM,677
86,Obvodní soud pro Prahu 1,https://nen.nipez.cz/profil/OSPraha1,686
87,Psychiatrická nemocnice Kosmonosy,https://nen.nipez.cz/profil/pnkosmonosy,689
88,Státní oblastní archiv v Praze,https://nen.nipez.cz/profil/SOAPraha,694
89,Obec Cebiv,https://nen.nipez.cz/profil/Cebiv,700
90,Český hydrometeorologický ústav,https://nen.nipez.cz/profil/CHMU,705
91,Obec Vohančice,https://nen.nipez.cz/profil/vohancice,708
92,"Muzeum romské kultury, státní příspěvková organizace",https://nen.nipez.cz/profil/MRK,722
93,"Armádní Servisní, příspěvková organizace",https://nen.nipez.cz/profil/ASPO,749
94,Český úřad zeměměřický a katastrální,https://nen.nipez.cz/profil/CUZK,754
95,Krajské ředitelství policie Jihočeského kraje,https://nen.nipez.cz/profil/KRPJCK,757
96,Český telekomunikační úřad,,761
97,Obec Kynice,https://nen.nipez.cz/profil/obeckynice,773
98,Národní bezpečnostní úřad,https://nen.nipez.cz/profil/nbu,785
99,Okresní soud v Karviné,https://nen.nipez.cz/profil/STAVASOKRE1,788
100,Město Týnec nad Sázavou,https://nen.nipez.cz/profil/TnS,794
101,Moravskoslezský kraj,https://nen.nipez.cz/profil/MSK,800
102,"Domov pro seniory Loučka, příspěvková organizace",https://nen.nipez.cz/profil/dsloucka,803
103,Svaz vodovodů a kanalizací Žďársko,https://nen.nipez.cz/profil/SVKZdarsko,805
104,MĚSTO TEPLICE NAD METUJÍ,https://nen.nipez.cz/profil/teplicenm,807
105,Základní škola a mateřská škola Častolovice,https://nen.nipez.cz/profil/zscastolovice,819
106,"Ústav přístrojové techniky AV ČR, v. v. i.",https://nen.nipez.cz/profil/UPTAVCR,821
107,Střední odborná škola a Gymnázium Staré Město,https://nen.nipez.cz/profil/sosagsm,827
108,Správa státních hmotných rezerv,https://nen.nipez.cz/profil/SSHR,834
109,"Základní škola a Mateřská škola, Teplice nad Metují",https://nen.nipez.cz/profil/zsteplicenadmetuji,807
110,Česká inspekce životního prostředí,https://nen.nipez.cz/profil/cizp,862
111,Zlínský kraj,https://nen.nipez.cz/profil/ZLK,884
112,15. přední hlídka Royal Rangers Mariánské Lázně,,891
113,Státní oblastní archiv v Třeboni,https://nen.nipez.cz/profil/SOATB,895
114,Agentura ochrany přírody a krajiny České republiky,https://nen.nipez.cz/profil/AOPK,901
115,"Vojenský technický ústav, s.p.",https://nen.nipez.cz/profil/VTU,628
116,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Holešově,https://nen.nipez.cz/profil/VPSaSPSHolesov,923
117,Česká rozvojová agentura,https://nen.nipez.cz/profil/czechaid,937
118,Městys Sepekov,https://nen.nipez.cz/profil/MestysSepekov,942
119,Zařízení služeb pro Ministerstvo vnitra,https://nen.nipez.cz/profil/ZSMV,948
120,Vězeňská služba České republiky,https://nen.nipez.cz/profil/VSCR,960
121,Obec Bukovec,https://nen.nipez.cz/profil/obecbukovec,990
122,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Praze,https://nen.nipez.cz/profil/VPSaSPSMVvPraze,994
123,Obec Lhota,https://nen.nipez.cz/profil/obeclhota,999
124,Okresní soud v Děčíně,https://nen.nipez.cz/profil/OkresnisoudvDecine,1004
125,Česká filharmonie,https://nen.nipez.cz/profil/CF,1023
126,Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha,https://nen.nipez.cz/profil/UVN,1024
127,Obec Bednáreček,https://nen.nipez.cz/profil/ObecBednarecek,1030
128,Obec Přehvozdí,https://nen.nipez.cz/profil/Prehvozdi,1041
129,Ministerstvo dopravy,https://nen.nipez.cz/profil/mdcr,1074
152,Správa Národního parku Podyjí,https://nen.nipez.cz/profil/SpravaNPPodyji,1103
153,Obec Osek,https://nen.nipez.cz/profil/ObecOsek,1114
154,"CENTRUM PRO ZDRAVOTNĚ POSTIŽENÉ Libereckého kraje, o.p.s.",https://nen.nipez.cz/profil/CZPLK,1118
155,OLYMP CENTRUM SPORTU MINISTERSTVA VNITRA,https://nen.nipez.cz/profil/OCSMV,1120
156,Obec Strání,https://nen.nipez.cz/profil/ObecStrani,1122
157,Okresní soud v Klatovech,https://nen.nipez.cz/profil/OSKT,1125
158,Česká obchodní inspekce,https://nen.nipez.cz/profil/COI,1127
159,Národní archiv,https://nen.nipez.cz/profil/narodniarchiv,694
