id,price,company_id,procurement_id
319,27003.20,104,149
320,30400.00,65,149
321,29200.00,52,149
322,25040.00,56,149
323,30080.00,271,149
324,22400.00,68,149
325,535250.00,272,150
326,53732.00,273,151
327,43505.00,65,153
328,6895605.24,278,158
329,6071993.34,277,158
330,7423720.07,279,158
331,6354460.78,280,158
332,6482800.00,281,158
333,0.00,282,159
334,36997.00,56,160
335,49110.00,284,160
336,32840.80,283,160
337,20060.00,285,161
338,0.00,66,162
339,47051.24,286,163
340,92569.00,287,164
341,1412360.00,288,165
342,0.00,66,166
343,0.00,289,167
344,0.00,66,167
345,0.00,234,167
346,,291,168
347,,292,168
348,,290,168
349,,293,168
350,3487926.00,294,169
351,12682.64,295,172
352,0.00,297,176
353,3299430.88,299,177
354,2083196.02,298,177
355,2798187.20,300,177
356,2285850.00,301,177
357,2796996.87,97,177
358,60837.00,304,180
359,,306,181
360,6680147.63,305,181
361,7186420.89,307,181
362,,308,181
363,31100.00,309,182
364,171022.00,311,183
365,158355.00,310,183
366,0.00,312,184
367,276000.00,52,185
368,34863.60,37,185
369,252000.00,271,185
370,53320.00,313,185
371,1320907.91,314,186
372,885183.10,298,186
373,1265626.47,97,186
374,60800.00,315,187
375,221530.00,189,188
376,243700.00,52,188
377,257416.50,203,188
378,45515.00,217,189
379,60780.00,65,189
380,56700.00,52,189
381,51140.50,316,189
382,,318,190
383,,319,190
384,,317,190
385,10743.80,320,192
386,4201.20,321,193
387,96600.00,52,195
388,88388.40,182,195
389,101400.00,65,195
390,389797.20,188,196
391,838500.00,64,196
392,1517100.00,65,196
393,1047501.00,322,196
394,990600.00,52,196
395,,323,197
396,1850401.20,324,198
397,3477.70,326,199
398,3176.00,325,199
399,3437.40,327,199
400,3556.67,328,199
401,3348.98,329,199
402,97087.00,330,200
403,,317,201
404,,332,201
405,,318,201
406,,75,201
407,,333,201
408,,334,201
409,24666000.00,5,201
410,27251056.91,335,201
411,23480000.00,336,201
412,22899928.31,331,201
413,28599445.08,337,201
414,24500000.00,76,201
415,14026378.00,339,202
416,13683180.00,338,202
417,13336.43,342,204
418,10360.00,341,204
419,,293,206
420,,290,206
421,,292,206
422,505100.00,343,207
423,1137.00,180,209
424,,345,210
425,,346,210
426,,56,210
427,,344,210
428,,347,210
429,26520.00,186,211
430,9917.36,185,212
431,3960.40,185,213
432,19008.26,187,214
433,1652.89,187,215
434,1652.89,187,216
435,4958.68,187,217
436,1652.89,187,218
437,2479.34,185,219
438,3305.79,185,220
439,1652.89,185,221
440,,348,222
