id,building_number,city,country_code,latitude,longitude,postal_code,street
1051,,Třinec,CZ,,,73961,Nábřežní
1052,,Tišnov,CZ,,,66601,Jungmannova
1053,,Stařeč,CZ,,,67522,Tyršova
1054,,Třanovice,CZ,,,73953,
1055,,Zlín,CZ,,,76302,Hřebíčkova
1056,4,Praha,CZ,50.04813324828327,14.457398737915877,14000,Vyskočilova
1057,14,Praha,CZ,50.0548893463587,14.34963494240772,15500,Pekařská
1058,,Sušice,CZ,,,34201,Pod Svatoborem
1059,3,Liberec,CZ,50.78383634654419,15.054949531249852,46001,Břetislavova
1060,1,Havířov,CZ,49.79625356249901,18.449853784616405,73564,Budovatelů
1061,,Brušperk,CZ,,,73944,Antonínov
1062,9,Ostrava,CZ,49.79718982354886,18.290640212760636,71900,Serafinova
1063,,Třebíč,CZ,,,67401,Hrotovická
1064,,Jemnice,CZ,,,67531,U Černého mostu
1065,8,Praha,CZ,50.03420125524143,14.490289457933203,14800,Kaplanova
1066,44,Praha 4,CZ,50.037714738153504,14.531166697573035,149 00,Staňkova
1067,,Velký Osek,CZ,,,28151,Prokopa Holého
1068,,Domažlice,CZ,,,34401,Masarykova
1069,,Uherský Brod,CZ,,,68801,Fr. Veselky
1070,14,Prostějov,CZ,49.476597322548926,17.104522017018546,79601,J. B. Pecky
1071,6a,Olomouc,CZ,49.58675859432873,17.24816992578549,77900,U botanické zahrady
1072,,Vendolí,CZ,,,56914,
1073,1,Praha,CZ,50.02200107538385,14.426245430036131,14700,Dobrušská
1074,12,Praha,CZ,50.09335210817866,14.434359891770796,11000,nábřeží Ludvíka Svobody
1075,,Bystřice pod Hostýnem,CZ,,,76861,Samostatnost
1102,13,Brno,CZ,49.197213019410064,16.610580097569176,60200,Jezuitská
1103,5,Znojmo,CZ,48.8586296220012,16.044410738158277,66902,Na Vyhlídce
1104,,Jílové u Prahy,CZ,,,25401,Čs. armády
1105,7,Hradec Králové,CZ,50.20346904183935,15.81542177009698,50002,Veverkova
1106,21,Olomouc,CZ,49.585704843146964,17.24074175757623,77900,Albertova
1107,,Valašské Meziříčí,CZ,,,75701,Železničního vojska
1108,3a,Praha,CZ,50.04892778159548,14.443233066926599,14000,Budějovická
1109,4,Praha,CZ,50.06901578423567,14.399529013102969,15000,Na Zatlance
1110,1,Olomouc,CZ,49.59032623334922,17.26769399240407,77900,tř. Kosmonautů
1111,2a,Praha,CZ,50.07521810944083,14.402189866817393,15000,Drtinova
1112,5,Brno,CZ,49.17704747020922,16.604410713488715,63900,Heršpická
1113,20,Praha,CZ,50.026979262179424,14.495439487731003,14800,V parku
1114,,Osek,CZ,,,38601,
1115,,Lipovice,CZ,,,38422,
1116,,Světec,CZ,,,41804,
1117,4,Liberec,CZ,50.76742999180739,15.087140917393917,46015,Cidlinská
1118,10,Liberec,CZ,50.77482298201734,15.04204260146726,46001,Zahradní
1119,34,Brno,CZ,49.185448761412616,16.602046890470316,60300,Křídlovická
1120,5,Praha,CZ,50.108814019376815,14.407870728428925,17000,Za Císařským mlýnem
1121,,Vsetín,CZ,,,75501,Horní náměstí
1122,,Strání,CZ,,,68765,Na kopci
1123,115a,Brno,CZ,49.16799162020686,16.68088007695923,62700,Tuřanka
1124,85,Brno,CZ,49.16351568542668,16.594058920479572,61900,Bohunická
1125,,Klatovy,CZ,,,33901,Dukelská
1126,3,Liberec 1,CZ,50.77182998789689,15.059101560102699,46001,Rumjancevova
1127,44,Praha,CZ,50.08088433534153,14.42673269297907,11000,Štěpánská
1128,16,Praha,CZ,50.03287856107716,14.493851147016557,14900,Zakouřilova
1129,54,Praha,CZ,50.10700248975116,14.493793743154171,19000,Drahobejlova
1130,8,Liberec,CZ,,,46001,Rumjancevova
1131,104,Praha,CZ,50.06416753898983,14.534462842840833,10200,Štěrboholská
1132,24,Praha,CZ,50.07148234806953,14.430863508598035,12000,Legerova
1133,1,Brno,CZ,49.21579350323653,16.510209319622675,63500,Foltýnova
1134,,Ruprechtov,CZ,,,68304,
1135,74,Brno,CZ,49.17227816013075,16.68738814887284,62700,Křehlíkova
1136,10,Blansko,CZ,,,67801,Svitavská
1137,,Trutnov,CZ,,,54101,Horská
1138,37,Brno,CZ,49.2117178822207,16.552592448295687,63700,Optátova
1139,,Frýdek-Místek,CZ,,,73801,Collo-louky
1140,,Plzeň,CZ,,,32600,
1141,14,Praha,CZ,50.07089602427586,14.448712244775292,10100,Sevastopolská
1142,84,Praha,CZ,50.093894222890164,14.451245032662388,18600,Sokolovská
1143,1,Ústí nad Labem,CZ,50.66349774414988,14.008337736999886,40001,Za Válcovnou
1144,42,Praha,CZ,50.02454795430292,14.35723016206488,15400,K Holyni
1145,11,Praha,CZ,50.11772869044341,14.507822360144154,19000,Letňanská
1146,,Jindřichův Hradec,CZ,,,37701,Česká
1147,12,Praha,CZ,50.102935582640534,14.446288649604877,17000,Dělnická
1148,10,Liberec,CZ,50.768005516678016,15.053779599389841,46007,Barvířská
1149,40,Jablonec nad Nisou,CZ,50.71639356199662,15.16658351144077,46601,V Aleji
1150,5,Praha,CZ,50.076199421028385,14.509045768083196,10000,Třebohostická
1151,,Uherské Hradiště,CZ,,,68601,
1152,56,Praha,CZ,50.10332341795299,14.52104842074805,19800,Poděbradská
1153,,Liberec,CZ,,,46001,Generála Svobody
1154,,Vrchlabí,CZ,,,54301,Na bělidle
1155,5,Jihlava,CZ,49.39569467618008,15.591500030500445,58601,Masarykovo náměstí
1156,,Lusaka,,,,,PO Box 33438
1157,,Příbram,CZ,,,26101,Dělostřelecká
1158,,Mikulovice,CZ,,,53002,
1159,,Žacléř,CZ,,,54201,B. Němcové
1160,3,Praha,CZ,50.03768933614928,14.509828567583162,14900,Pištěkova
1161,5,Karlovy Vary,CZ,50.23087568397964,12.840336433532045,36006,Chebská
1162,,Kotopeky,CZ,,,26801,
1163,,Chrastava,CZ,,,46331,Frýdlantská
1164,,Hranice,CZ,,,75301,Radniční
1165,,Toužim,CZ,,,36401,Tepelská
1166,,Hranice,CZ,,,75301,Tř. 1. máje
1167,,Sokolov,CZ,,,35601,Stará Ovčárna
1168,4,Praha,CZ,50.08816033951474,14.430361353472145,11000,V celnici
1169,,Hradec Králové,CZ,,,50101,Ulrichovo náměstí 810
1170,4,Praha,CZ,50.07554704055136,14.520887546982179,10800,Služeb
1171,103,Hradec Králové,CZ,50.22177248153962,15.780552167714044,50311,Dvorská
1172,,Pardubice,CZ,,,53003,Divišova
1173,,Pelhřimov,CZ,,,39301,Válkova
1174,,Týniště nad Orlicí,CZ,,,51721,Čapkova
1175,,Praha 8,CZ,,,182 00,Nad Rokoskou
1176,1,Praha,CZ,50.10143959762514,14.526220357335193,19800,Nademlejnská
